notification_id,user_id,message,read
1,8,Audit Reminder,False
2,14,Audit Reminder,False
3,53,CSR Approved,False
4,46,Challenge Completed,False
5,7,Audit Reminder,False
6,3,Compliance Alert,False
7,54,Compliance Alert,False
8,38,Badge Unlocked,False
9,50,Audit Reminder,False
10,30,Compliance Alert,False
11,38,Goal Deadline,False
12,9,Audit Reminder,False
13,1,Goal Deadline,False
14,48,Badge Unlocked,False
15,36,Audit Reminder,False
16,54,Goal Deadline,False
17,31,Goal Deadline,False
18,50,CSR Approved,False
19,45,Goal Deadline,False
20,12,Compliance Alert,False
21,53,CSR Approved,False
22,7,Audit Reminder,False
23,43,Goal Deadline,False
24,39,Challenge Completed,False
25,33,Audit Reminder,False
26,27,Goal Deadline,False
27,59,Compliance Alert,False
28,49,CSR Approved,False
29,18,Audit Reminder,False
30,22,Challenge Completed,False
31,29,CSR Approved,False
32,9,Audit Reminder,False
33,39,Compliance Alert,False
34,57,Compliance Alert,False
35,33,Challenge Completed,False
36,54,Compliance Alert,False
37,36,Challenge Completed,False
38,46,Compliance Alert,False
39,60,Goal Deadline,False
40,41,CSR Approved,False
41,13,CSR Approved,False
42,40,Compliance Alert,False
43,19,Compliance Alert,False
44,23,Compliance Alert,False
45,9,Compliance Alert,False
46,42,CSR Approved,False
47,33,Goal Deadline,False
48,45,Compliance Alert,False
49,21,Compliance Alert,False
50,8,Challenge Completed,False
51,36,Audit Reminder,False
52,38,Goal Deadline,False
53,43,Compliance Alert,False
54,27,Compliance Alert,False
55,48,Goal Deadline,False
56,19,Audit Reminder,False
57,52,Badge Unlocked,False
58,34,Badge Unlocked,False
59,2,Audit Reminder,False
60,10,Badge Unlocked,False
61,43,Badge Unlocked,False
62,13,Challenge Completed,False
63,49,CSR Approved,False
64,19,Compliance Alert,False
65,17,CSR Approved,False
66,54,Badge Unlocked,False
67,45,Challenge Completed,False
68,14,Goal Deadline,False
69,3,Challenge Completed,False
70,53,Audit Reminder,False
71,7,Goal Deadline,False
72,56,Compliance Alert,False
73,48,Goal Deadline,False
74,56,CSR Approved,False
75,48,Compliance Alert,False
76,36,Audit Reminder,False
77,16,Goal Deadline,False
78,51,Compliance Alert,False
79,19,Compliance Alert,False
80,43,Badge Unlocked,False
81,60,Audit Reminder,False
82,25,Audit Reminder,False
83,51,Compliance Alert,False
84,21,Goal Deadline,False
85,4,Badge Unlocked,False
86,48,Challenge Completed,False
87,13,Goal Deadline,False
88,56,Audit Reminder,False
89,54,CSR Approved,False
90,59,Compliance Alert,False
91,46,Compliance Alert,False
92,42,Challenge Completed,False
93,49,Goal Deadline,False
94,35,Compliance Alert,False
95,39,CSR Approved,False
96,50,Compliance Alert,False
97,13,Challenge Completed,False
98,29,CSR Approved,False
99,44,Badge Unlocked,False
100,12,CSR Approved,False
101,48,Goal Deadline,False
102,8,Audit Reminder,False
103,3,Audit Reminder,False
104,18,Goal Deadline,False
105,17,CSR Approved,False
106,11,Goal Deadline,False
107,55,Challenge Completed,False
108,1,Challenge Completed,False
109,30,Compliance Alert,False
110,60,CSR Approved,False
111,3,CSR Approved,False
112,60,Challenge Completed,False
113,39,Badge Unlocked,False
114,50,Compliance Alert,False
115,40,Compliance Alert,False
116,20,Audit Reminder,False
117,51,Goal Deadline,False
118,36,Challenge Completed,False
119,5,Compliance Alert,False
120,21,Goal Deadline,False
